area_sqft,price,bedrooms,bathrooms,location,description
1500,250000,2,2,Los Angeles CA,Spacious apartment with modern kitchen and city views
2000,450000,3,2,Miami FL,Beautiful house near the beach with a pool
1200,180000,2,1,Austin TX,Cozy condo in downtown area with great amenities
2500,550000,4,3,Seattle WA,Luxurious home with mountain views and large garden
1800,320000,3,2,Denver CO,Modern townhouse with rooftop terrace
1000,150000,1,1,Phoenix AZ,Affordable apartment with swimming pool access
3000,750000,5,4,San Francisco CA,Stunning Victorian house with garden
1400,220000,2,1,Portland OR,Charming cottage in quiet neighborhood
2200,480000,4,3,Chicago IL,Elegant apartment in the heart of downtown
1600,280000,3,2,Boston MA,Classic row house with historic charm
1900,380000,3,2,Nashville TN,Contemporary home with open floor plan
1300,200000,2,1,Atlanta GA,Modern loft near tech district
2800,680000,4,4,New York NY,Penthouse with stunning skyline views and private terrace
1700,300000,3,2,Dallas TX,Spacious home in suburban area with good schools
2100,420000,4,3,Houston TX,Beautiful house with large backyard
1100,170000,1,1,Philadelphia PA,Updated apartment in historic building
2400,520000,4,3,San Diego CA,Oceanfront condo with panoramic views
1500,260000,2,2,Minneapolis MN,Comfortable home with finished basement
2000,400000,3,2,Tampa FL,House with pool and lanai
1200,190000,2,1,Salt Lake City UT,Apartment near mountains with ski access
